GROUP_KEY,CATEGORY,BRAND,DISPLAY_NAME,IMAGE_COUNT,PRIMARY_IMAGE,CONFIDENCE,NEEDS_REVIEW
NO-CAT::Samsung::galaxya535gk-medium,,Samsung,galaxya535gk medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(8)/galaxya535gk-medium%20(1).webp?updatedAt=1786488484562,LOW,YES
NO-CAT::Samsung::galaxya735gk-medium,,Samsung,galaxya735gk medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(8)/galaxya735gk-medium%20(1).webp?updatedAt=1786488483919,LOW,YES
NO-CAT::NO-BRAND::s26-ultra-d-medium,,,s26 ultra d medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya/s26-ultra-d-medium%20(1).webp?updatedAt=1786489032815,LOW,YES
C01::Samsung::samsung-galaxy-a26-medium,Smartphones,Samsung,Samsung Galaxy A26 medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya/Samsung-Galaxy-A26-medium%20(1).webp?updatedAt=1786489035110,MEDIUM,NO
C01::Samsung::samsung-galaxy-m17-5g-medium,Smartphones,Samsung,Samsung Galaxy M17 5G medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya/Samsung-Galaxy-M17-5G-medium%20(1).webp?updatedAt=1786489079582,MEDIUM,NO
C01::Samsung::samsung-galaxy-m17e-medium,Smartphones,Samsung,Samsung Galaxy M17e medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya/Samsung-Galaxy-M17e-medium%20(1).webp?updatedAt=1786489080052,MEDIUM,NO
C01::Samsung::samsung-galaxy-z-fold8-c-medium,Smartphones,Samsung,Samsung Galaxy Z Fold8 c medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya/Samsung-Galaxy-Z-Fold8-c-medium%20(1).webp?updatedAt=1786489080800,MEDIUM,NO
C01::Samsung::samsung-galaxy-z-fold8-ultra-medium,Smartphones,Samsung,Samsung Galaxy Z Fold8 Ultra medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya/Samsung-Galaxy-Z-Fold8-Ultra-medium%20(1).webp?updatedAt=1786489080786,MEDIUM,NO
NO-CAT::Xiaomi::redmi-a7-pro,,Xiaomi,redmi a7 pro,6,https://ik.imagekit.io/0iaahkrcv/gadgets/redmi-a7-pro%20(2).png?updatedAt=1786555410933,LOW,YES
C01::itel::blackview-original,Smartphones,itel,Blackview original,6,https://ik.imagekit.io/0iaahkrcv/itel/Blackview-original%20(1).webp?updatedAt=1786520813257,HIGH,NO
