ID,SOURCE_FOLDER,FILENAME,DISPLAY_NAME,BRAND,CAT_ID,CAT_NAME,CONFIDENCE,REASONS,URL
6a7b63465c7cd75eb8b33c58,ecommerce,Xiaomi-Redmi-12-a-medium (1).webp,Xiaomi Redmi 12 a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Redmi-12-a-medium%20(1).webp?updatedAt=1786471239330
6a7b63455c7cd75eb8b33484,ecommerce,Xiaomi-Redmi-12-a-medium (2).webp,Xiaomi Redmi 12 a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Redmi-12-a-medium%20(2).webp?updatedAt=1786471238251
6a7b63455c7cd75eb8b334a5,ecommerce,Xiaomi-Redmi-12-a-medium (3).webp,Xiaomi Redmi 12 a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Redmi-12-a-medium%20(3).webp?updatedAt=1786471238171
6a7b63485c7cd75eb8b3443c,ecommerce,Xiaomi-Redmi-12-a-medium (4).webp,Xiaomi Redmi 12 a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Redmi-12-a-medium%20(4).webp?updatedAt=1786471240851
6a7b63485c7cd75eb8b3425c,ecommerce,Xiaomi-Redmi-12-a-medium (5).webp,Xiaomi Redmi 12 a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Redmi-12-a-medium%20(5).webp?updatedAt=1786471240587
6a7b63485c7cd75eb8b343d1,ecommerce,Xiaomi-Redmi-12-a-medium.webp,Xiaomi Redmi 12 a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Redmi-12-a-medium.webp?updatedAt=1786471240797
6a7b63485c7cd75eb8b343c2,ecommerce,Xiaomi-Redmi-13-4G-a-medium (1).webp,Xiaomi Redmi 13 4G a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Redmi-13-4G-a-medium%20(1).webp?updatedAt=1786471240760
6a7b63485c7cd75eb8b3438f,ecommerce,Xiaomi-Redmi-13-4G-a-medium (2).webp,Xiaomi Redmi 13 4G a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Redmi-13-4G-a-medium%20(2).webp?updatedAt=1786471240806
6a7b63485c7cd75eb8b342fb,ecommerce,Xiaomi-Redmi-13-4G-a-medium (3).webp,Xiaomi Redmi 13 4G a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Redmi-13-4G-a-medium%20(3).webp?updatedAt=1786471241225
6a7b63485c7cd75eb8b34424,ecommerce,Xiaomi-Redmi-13-4G-a-medium (4).webp,Xiaomi Redmi 13 4G a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Redmi-13-4G-a-medium%20(4).webp?updatedAt=1786471240862
